CoRoT,Year,Month,Day,FileName_a,FileName_b,FileName_c
102770134,2007,2,3,130553,20070402,70158
102770992,2007,2,3,130553,20070402,70158
102771057,2007,2,3,130553,20070402,70126
102771073,2007,2,3,130553,20070402,70158
102771107,2007,2,3,130553,20070402,70126
102771367,2007,2,3,130553,20070402,70158
102771618,2007,2,3,130553,20070402,70158
102771658,2007,2,3,130553,20070402,70158
102771803,2007,2,3,130553,20070402,70158
102771820,2007,2,3,130553,20070402,70158
102771922,2007,2,3,130553,20070402,70158
102771931,2007,2,3,130553,20070402,70126
102771940,2007,2,3,130553,20070402,70158
102771964,2007,2,3,130553,20070402,70158
102772146,2007,2,3,130553,20070402,70158
102772403,2007,2,3,130553,20070402,70158
102772676,2007,2,3,130553,20070402,70158
102772864,2007,2,3,130553,20070402,70158
102773012,2007,2,3,130553,20070402,70126
102773020,2007,2,3,130553,20070402,70158
102773285,2007,2,3,130553,20070402,70158
102773368,2007,2,3,130553,20070402,70158
102773495,2007,2,3,130553,20070402,70126
102773691,2007,2,3,130553,20070402,70126
102773837,2007,2,3,130553,20070402,70126
102773941,2007,2,3,130553,20070402,70158
102773965,2007,2,3,130553,20070402,70158
102774047,2007,2,3,130553,20070402,70158
102774115,2007,2,3,130553,20070402,70158
102774175,2007,2,3,130553,20070402,70158
102774248,2007,2,3,130553,20070402,70158
102774528,2007,2,3,130553,20070402,70126
102774660,2007,2,3,130553,20070402,70158
102774707,2007,2,3,130553,20070402,70126
102774770,2007,2,3,130553,20070402,70158
102774794,2007,2,3,130553,20070402,70158
102775098,2007,2,3,130553,20070402,70126
102775589,2007,2,3,130553,20070402,70126
102775591,2007,2,3,130553,20070402,70158
102775599,2007,2,3,130553,20070402,70126
102775816,2007,2,3,130553,20070402,70158
102775908,2007,2,3,130553,20070402,70158
102775932,2007,2,3,130553,20070402,70158
102775957,2007,2,3,130553,20070402,70158
102776267,2007,2,3,130553,20070402,70158
102776455,2007,2,3,130553,20070402,70158
102776598,2007,2,3,130553,20070402,70158
102776617,2007,2,3,130553,20070402,70158
102776947,2007,2,3,130553,20070402,70126
102776986,2007,2,3,130553,20070402,70158
102777056,2007,2,3,130553,20070402,70126
102777097,2007,2,3,130553,20070402,70158
102777240,2007,2,3,130553,20070402,70158
102777329,2007,2,3,130553,20070402,70158
102777344,2007,2,3,130553,20070402,70158
102777384,2007,2,3,130553,20070402,70158
102777559,2007,2,3,130553,20070402,70158
102777713,2007,2,3,130553,20070402,70158
102777770,2007,2,3,130553,20070402,70158
102777787,2007,2,3,130553,20070402,70126
102778350,2007,2,3,130553,20070402,70158
102778352,2007,2,3,130553,20070402,70158
102778482,2007,2,3,130553,20070402,70158
102778672,2007,2,3,130553,20070402,70158
102778818,2007,2,3,130553,20070402,70126
102779054,2007,2,3,130553,20070402,70158
102779171,2007,2,3,130553,20070402,70126
102779272,2007,2,3,130553,20070402,70158
102779447,2007,2,3,130553,20070402,70158
102779473,2007,2,3,130553,20070402,70126
102779542,2007,2,3,130553,20070402,70158
102779696,2007,2,3,130553,20070402,70158
102779698,2007,2,3,130553,20070402,70158
102779748,2007,2,3,130553,20070402,70158
102780040,2007,2,3,130553,20070402,70158
102780079,2007,2,3,130553,20070402,70158
102780097,2007,2,3,130553,20070402,70158
102780229,2007,2,3,130553,20070402,70158
102780246,2007,2,3,130553,20070402,70158
102780281,2007,2,3,130553,20070402,70158
102780977,2007,2,3,130553,20070402,70126
102781367,2007,2,3,130553,20070402,70158
102781369,2007,2,3,130553,20070402,70158
102781403,2007,2,3,130553,20070402,70158
102781710,2007,2,3,130553,20070402,70126
102781773,2007,2,3,130553,20070402,70126
102781834,2007,2,3,130553,20070402,70126
102782199,2007,2,3,130553,20070402,70126
102782236,2007,2,3,130553,20070402,70126
102782241,2007,2,3,130553,20070402,70158
102782261,2007,2,3,130553,20070402,70158
102782554,2007,2,3,130553,20070402,70158
102782617,2007,2,3,130553,20070402,70158
102782618,2007,2,3,130553,20070402,70158
102782824,2007,2,3,130553,20070402,70158
102782845,2007,2,3,130553,20070402,70158
102782913,2007,2,3,130553,20070402,70158
102783141,2007,2,3,130553,20070402,70126
102783197,2007,2,3,130553,20070402,70126
102783213,2007,2,3,130553,20070402,70126
102783297,2007,2,3,130553,20070402,70158
102783481,2007,2,3,130553,20070402,70158
102783484,2007,2,3,130553,20070402,70126
102783610,2007,2,3,130553,20070402,70158
102783622,2007,2,3,130553,20070402,70158
102784065,2007,2,3,130553,20070402,70158
102784251,2007,2,3,130553,20070402,70158
102784359,2007,2,3,130553,20070402,70126
102784478,2007,2,3,130553,20070402,70158
102784804,2007,2,3,130553,20070402,70126
102784816,2007,2,3,130553,20070402,70158
102784828,2007,2,3,130553,20070402,70158
102785091,2007,2,3,130553,20070402,70158
102785246,2007,2,3,130553,20070402,70126
102785618,2007,2,3,130553,20070402,70158
102785785,2007,2,3,130553,20070402,70158
102785902,2007,2,3,130553,20070402,70126
102785961,2007,2,3,130553,20070402,70158
102786152,2007,2,3,130553,20070402,70126
102786433,2007,2,3,130553,20070402,70158
102786510,2007,2,3,130553,20070402,70126
102786577,2007,2,3,130553,20070402,70158
102786719,2007,2,3,130553,20070402,70158
102786809,2007,2,3,130553,20070402,70126
102786851,2007,2,3,130553,20070402,70126
102786918,2007,2,3,130553,20070402,70126
102786963,2007,2,3,130553,20070402,70126
102787003,2007,2,3,130553,20070402,70126
102787048,2007,2,3,130553,20070402,70126
102787451,2007,2,3,130553,20070402,70158
102787490,2007,2,3,130553,20070402,70158
102787645,2007,2,3,130553,20070402,70126
102787651,2007,2,3,130553,20070402,70158
102787863,2007,2,3,130553,20070402,70126
102787904,2007,2,3,130553,20070402,70158
102787936,2007,2,3,130553,20070402,70158
102787952,2007,2,3,130553,20070402,70158
102787969,2007,2,3,130553,20070402,70126
102788014,2007,2,3,130553,20070402,70158
102788238,2007,2,3,130553,20070402,70158
102788308,2007,2,3,130553,20070402,70158
102788427,2007,2,3,130553,20070402,70158
102788509,2007,2,3,130553,20070402,70158
102788533,2007,2,3,130553,20070402,70158
102788565,2007,2,3,130553,20070402,70158
102788679,2007,2,3,130553,20070402,70126
102789103,2007,2,3,130553,20070402,70126
102789159,2007,2,3,130553,20070402,70158
102789170,2007,2,3,130553,20070402,70158
102789429,2007,2,3,130553,20070402,70158
102789592,2007,2,3,130553,20070402,70158
102789601,2007,2,3,130553,20070402,70158
102789944,2007,2,3,130553,20070402,70158
102789962,2007,2,3,130553,20070402,70126
102790029,2007,2,3,130553,20070402,70158
102790097,2007,2,3,130553,20070402,70158
102790273,2007,2,3,130553,20070402,70158
102790376,2007,2,3,130553,20070402,70126
